,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,International,Jun,Departure,Alexandria," 3,052 ", 23 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Alexandria," 2,861 ", 22 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Alexandria," 2,278 ", 21 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Alexandria, 972 , 9 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Alexandria," 1,067 ", 10 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Amman," 5,528 ", 42 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Amman," 4,203 ", 39 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Amman," 2,969 ", 49 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Amman," 5,661 ", 53 ,,,,,,,,
,DMM,2025,International,May,Arrival,Amman," 3,730 ", 51 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Amman," 5,134 ", 68 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Amman," 6,287 ", 71 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Amman," 12,002 ", 80 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Amman," 6,636 ", 52 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Amman," 5,728 ", 57 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Amman," 4,753 ", 43 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Amman," 4,602 ", 39 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Amman," 6,208 ", 49 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Amman," 4,541 ", 54 ,,,,,,,,
,DMM,2025,International,May,Departure,Amman," 6,146 ", 51 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Amman," 8,821 ", 67 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Amman," 9,927 ", 72 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Amman," 6,176 ", 79 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Amman," 4,892 ", 53 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Amman," 6,155 ", 57 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Amsterdam," 2,150 ", 26 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Amsterdam," 1,542 ", 24 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Amsterdam," 1,329 ", 26 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Amsterdam," 1,825 ", 20 ,,,,,,,,
,DMM,2025,International,May,Arrival,Amsterdam," 1,521 ", 22 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Amsterdam, 917 , 12 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Amsterdam," 2,002 ", 25 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Amsterdam," 2,602 ", 25 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Amsterdam," 1,651 ", 23 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Amsterdam," 1,584 ", 25 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Amsterdam," 3,090 ", 26 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Amsterdam," 2,374 ", 24 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Amsterdam," 2,202 ", 26 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Amsterdam," 2,684 ", 20 ,,,,,,,,
,DMM,2025,International,May,Departure,Amsterdam," 2,237 ", 22 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Amsterdam," 1,561 ", 12 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Amsterdam," 2,840 ", 25 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Amsterdam," 2,976 ", 25 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Amsterdam," 1,974 ", 23 ,,,,,,,,
