,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Riyadh," 66,423 ", 502 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Riyadh," 68,759 ", 488 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Riyadh," 83,570 ", 574 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Tabuk," 8,974 ", 79 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Tabuk," 8,813 ", 68 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Tabuk," 8,452 ", 66 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Tabuk," 8,451 ", 62 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Tabuk," 8,782 ", 65 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Tabuk," 7,291 ", 48 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Tabuk," 9,378 ", 59 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Tabuk," 9,558 ", 59 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Tabuk," 4,880 ", 43 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Tabuk," 4,381 ", 47 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Tabuk," 9,301 ", 79 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Tabuk," 8,763 ", 68 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Tabuk," 8,132 ", 65 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Tabuk," 7,596 ", 62 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Tabuk," 8,171 ", 65 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Tabuk," 6,775 ", 48 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Tabuk," 7,759 ", 59 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Tabuk," 7,677 ", 59 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Tabuk," 4,604 ", 43 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Tabuk," 4,130 ", 48 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Taif," 7,725 ", 52 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Taif," 5,690 ", 44 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Taif," 8,896 ", 83 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Taif," 7,000 ", 43 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Taif," 6,159 ", 49 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Taif," 7,622 ", 67 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Taif," 7,211 ", 49 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Taif," 9,063 ", 53 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Taif," 6,890 ", 47 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Taif," 6,743 ", 47 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Taif," 7,771 ", 52 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Taif," 5,980 ", 44 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Taif," 13,095 ", 83 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Taif," 5,959 ", 43 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Taif," 7,158 ", 49 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Taif," 8,980 ", 67 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Taif," 8,244 ", 49 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Taif," 7,588 ", 54 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Taif," 6,103 ", 47 ,,,,,,,,
